token,경주빈도,전주빈도,빈도합,경주비율,전주비율
이동은,0,5,5,0.00%,100.00%
인당,0,5,5,0.00%,100.00%
일,0,5,5,0.00%,100.00%
일반,0,5,5,0.00%,100.00%
일식,0,5,5,0.00%,100.00%
입장료,0,5,5,0.00%,100.00%
자만,0,5,5,0.00%,100.00%
전동성당,0,5,5,0.00%,100.00%
전라북도,0,5,5,0.00%,100.00%
전망,0,5,5,0.00%,100.00%
전주국,0,5,5,0.00%,100.00%
전주시,0,5,5,0.00%,100.00%
조선,0,5,5,0.00%,100.00%
주로,0,5,5,0.00%,100.00%
주목적,0,5,5,0.00%,100.00%
주문,0,5,5,0.00%,100.00%
주이,0,5,5,0.00%,100.00%
중간,0,5,5,0.00%,100.00%
중식,0,5,5,0.00%,100.00%
지방,0,5,5,0.00%,100.00%
지식,0,5,5,0.00%,100.00%
집,0,5,5,0.00%,100.00%
징,0,5,5,0.00%,100.00%
짬뽕,0,5,5,0.00%,100.00%
찜질방,0,5,5,0.00%,100.00%
천차만별,0,5,5,0.00%,100.00%
체증,0,5,5,0.00%,100.00%
침대,0,5,5,0.00%,100.00%
캐릭터,0,5,5,0.00%,100.00%
케이블카,0,5,5,0.00%,100.00%
코로나,0,5,5,0.00%,100.00%
콘,0,5,5,0.00%,100.00%
킹,0,5,5,0.00%,100.00%
태교,0,5,5,0.00%,100.00%
토대,0,5,5,0.00%,100.00%
통상,0,5,5,0.00%,100.00%
트레,0,5,5,0.00%,100.00%
특색,0,5,5,0.00%,100.00%
티,0,5,5,0.00%,100.00%
팀조,0,5,5,0.00%,100.00%
팔복,0,5,5,0.00%,100.00%
팜,0,5,5,0.00%,100.00%
페스타,0,5,5,0.00%,100.00%
폼,0,5,5,0.00%,100.00%
플랫,0,5,5,0.00%,100.00%
하늘,0,5,5,0.00%,100.00%
하트,0,5,5,0.00%,100.00%
항목,0,5,5,0.00%,100.00%
해설,0,5,5,0.00%,100.00%
허락,0,5,5,0.00%,100.00%
현장,0,5,5,0.00%,100.00%
현재,0,5,5,0.00%,100.00%
현지,0,5,5,0.00%,100.00%
현황,0,5,5,0.00%,100.00%
환급,0,5,5,0.00%,100.00%
효율,0,5,5,0.00%,100.00%
휴가,0,5,5,0.00%,100.00%
휴무,0,5,5,0.00%,100.00%
흐노,0,5,5,0.00%,100.00%
공예,0,4,4,0.00%,100.00%
프로그램,0,4,4,0.00%,100.00%
야,0,3,3,0.00%,100.00%
컨셉,0,3,3,0.00%,100.00%
부담,0,2,2,0.00%,100.00%
주역,0,2,2,0.00%,100.00%
시점,0,1,1,0.00%,100.00%
연,0,1,1,0.00%,100.00%
이여,0,1,1,0.00%,100.00%
전주비빔밥,0,1,1,0.00%,100.00%
해용,0,1,1,0.00%,100.00%
